danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,title,artist
0.406,0.623,2,-6.992,0,0.0516,0.00199,0.000346,0.432,0.163,150.389,audio_features,2RwxKOqGh9IEiBpwVLgkQT,spotify:track:2RwxKOqGh9IEiBpwVLgkQT,https://api.spotify.com/v1/tracks/2RwxKOqGh9IEiBpwVLgkQT,https://api.spotify.com/v1/audio-analysis/2RwxKOqGh9IEiBpwVLgkQT,155187,4,Give Up On You,hayve
0.413,0.731,2,-4.912,0,0.0526,0.0872,0.000226,0.0941,0.134,139.785,audio_features,22PQ3q11bQCUoFdiHnXbRf,spotify:track:22PQ3q11bQCUoFdiHnXbRf,https://api.spotify.com/v1/tracks/22PQ3q11bQCUoFdiHnXbRf,https://api.spotify.com/v1/audio-analysis/22PQ3q11bQCUoFdiHnXbRf,292286,4,Blood and Moonlight,Celestial Void
0.462,0.613,4,-6.335,1,0.0315,0.0778,0.00103,0.101,0.227,139.946,audio_features,6EjawNS588Rrm39sybcjy2,spotify:track:6EjawNS588Rrm39sybcjy2,https://api.spotify.com/v1/tracks/6EjawNS588Rrm39sybcjy2,https://api.spotify.com/v1/audio-analysis/6EjawNS588Rrm39sybcjy2,195429,4,Red Thread,shXdow.
0.605,0.783,3,-4.271,1,0.0324,0.299,0.000175,0.133,0.105,124.015,audio_features,02shCNmb6IvgB5jLqKjtkK,spotify:track:02shCNmb6IvgB5jLqKjtkK,https://api.spotify.com/v1/tracks/02shCNmb6IvgB5jLqKjtkK,https://api.spotify.com/v1/audio-analysis/02shCNmb6IvgB5jLqKjtkK,208562,4,Nevada,Vicetone
0.498,0.494,0,-12.42,1,0.0343,0.0118,0.00108,0.166,0.12,134.983,audio_features,1YXUD5D1ZRSaKZRZME4UB5,spotify:track:1YXUD5D1ZRSaKZRZME4UB5,https://api.spotify.com/v1/tracks/1YXUD5D1ZRSaKZRZME4UB5,https://api.spotify.com/v1/audio-analysis/1YXUD5D1ZRSaKZRZME4UB5,209938,4,You'll Be OK,Gareth Emery
0.594,0.727,7,-4.507,1,0.0536,0.311,0,0.0662,0.277,127.91,audio_features,1YUn8WogP40RYJNSidN0lJ,spotify:track:1YUn8WogP40RYJNSidN0lJ,https://api.spotify.com/v1/tracks/1YUn8WogP40RYJNSidN0lJ,https://api.spotify.com/v1/audio-analysis/1YUn8WogP40RYJNSidN0lJ,210668,4,Bittersweet Melody,Said The Sky
0.507,0.785,2,-3.276,0,0.0562,0.00843,0,0.0734,0.0505,90.241,audio_features,65krG6c3veTz66mIdSU16f,spotify:track:65krG6c3veTz66mIdSU16f,https://api.spotify.com/v1/tracks/65krG6c3veTz66mIdSU16f,https://api.spotify.com/v1/audio-analysis/65krG6c3veTz66mIdSU16f,245333,4,Don't Look Down (Hold On),Excision
0.618,0.664,3,-7.833,1,0.039,0.744,0.919,0.15,0.0706,171.999,audio_features,0ueILWV4Pvzx5hJCMCn975,spotify:track:0ueILWV4Pvzx5hJCMCn975,https://api.spotify.com/v1/tracks/0ueILWV4Pvzx5hJCMCn975,https://api.spotify.com/v1/audio-analysis/0ueILWV4Pvzx5hJCMCn975,147972,4,Nevada - Vicetone Lofi Mix,Vicetone
0.608,0.871,7,-4.639,1,0.0512,0.0675,0,0.11,0.611,128.036,audio_features,2eCjFwE5fwXttf6knCgX91,spotify:track:2eCjFwE5fwXttf6knCgX91,https://api.spotify.com/v1/tracks/2eCjFwE5fwXttf6knCgX91,https://api.spotify.com/v1/audio-analysis/2eCjFwE5fwXttf6knCgX91,193125,4,Runaway - Radio Edit,Pierce Fulton
0.452,0.839,1,-3.605,1,0.0468,0.0419,0.325,0.109,0.176,169.98,audio_features,491VBkOr5bUECg4fwj7PC6,spotify:track:491VBkOr5bUECg4fwj7PC6,https://api.spotify.com/v1/tracks/491VBkOr5bUECg4fwj7PC6,https://api.spotify.com/v1/audio-analysis/491VBkOr5bUECg4fwj7PC6,269647,4,We Won't Leave You - Wild Cards Remix,Steve Void
0.583,0.662,9,-7.689,1,0.0436,0.026,0.00303,0.14,0.242,121.909,audio_features,4pvQuMznanQIoAVshVwxLc,spotify:track:4pvQuMznanQIoAVshVwxLc,https://api.spotify.com/v1/tracks/4pvQuMznanQIoAVshVwxLc,https://api.spotify.com/v1/audio-analysis/4pvQuMznanQIoAVshVwxLc,145143,4,Stereo Love,UMAII
0.699,0.794,5,-5.039,0,0.0377,0.0547,0.00154,0.392,0.442,124.117,audio_features,2ArZ1ddGz0Lc8bwPKwiSTo,spotify:track:2ArZ1ddGz0Lc8bwPKwiSTo,https://api.spotify.com/v1/tracks/2ArZ1ddGz0Lc8bwPKwiSTo,https://api.spotify.com/v1/audio-analysis/2ArZ1ddGz0Lc8bwPKwiSTo,156774,4,Whiplash,D'Amico & Valax
0.472,0.785,10,-3.872,1,0.0357,0.101,1.46e-06,0.117,0.517,167.937,audio_features,2L3lYfrnZdm13IgvwR6HTW,spotify:track:2L3lYfrnZdm13IgvwR6HTW,https://api.spotify.com/v1/tracks/2L3lYfrnZdm13IgvwR6HTW,https://api.spotify.com/v1/audio-analysis/2L3lYfrnZdm13IgvwR6HTW,190000,4,Children of the Sky,nanobii
0.464,0.886,0,-3.711,1,0.0496,0.177,2.49e-05,0.147,0.323,175.065,audio_features,4oSJ1kLpOJvgB0FDilIdfO,spotify:track:4oSJ1kLpOJvgB0FDilIdfO,https://api.spotify.com/v1/tracks/4oSJ1kLpOJvgB0FDilIdfO,https://api.spotify.com/v1/audio-analysis/4oSJ1kLpOJvgB0FDilIdfO,209859,4,Lockdown,PIKASONIC
0.529,0.844,9,-3.422,1,0.0662,0.0145,1.73e-05,0.0955,0.192,140.133,audio_features,6T7ORp4dBOA93elX1NIYOm,spotify:track:6T7ORp4dBOA93elX1NIYOm,https://api.spotify.com/v1/tracks/6T7ORp4dBOA93elX1NIYOm,https://api.spotify.com/v1/audio-analysis/6T7ORp4dBOA93elX1NIYOm,318429,4,Subliminal (Even the Ghosts are Laughing),HVDES
0.535,0.747,6,-4.529,1,0.034,0.0251,0.00125,0.113,0.408,150.163,audio_features,4hMG5tGjzCGgobKLhDQZCx,spotify:track:4hMG5tGjzCGgobKLhDQZCx,https://api.spotify.com/v1/tracks/4hMG5tGjzCGgobKLhDQZCx,https://api.spotify.com/v1/audio-analysis/4hMG5tGjzCGgobKLhDQZCx,210529,4,Homestead,Avi8
0.259,0.923,1,-5.53,1,0.0908,2.5e-06,0.103,0.155,0.593,199.806,audio_features,5LLhdR6qdQvAfSm2C0EYj4,spotify:track:5LLhdR6qdQvAfSm2C0EYj4,https://api.spotify.com/v1/tracks/5LLhdR6qdQvAfSm2C0EYj4,https://api.spotify.com/v1/audio-analysis/5LLhdR6qdQvAfSm2C0EYj4,130187,4,The Stains of Time - Maniac Agenda Mix,Kit Walters
0.55,0.764,2,-5.277,0,0.0463,0.00446,0,0.171,0.436,139.976,audio_features,5IF16c5m61ofhwU0uAqCOF,spotify:track:5IF16c5m61ofhwU0uAqCOF,https://api.spotify.com/v1/tracks/5IF16c5m61ofhwU0uAqCOF,https://api.spotify.com/v1/audio-analysis/5IF16c5m61ofhwU0uAqCOF,220732,4,Gltchlfe (Kdrew Radio Edit),Taryn Manning
0.514,0.837,11,-4.479,1,0.0326,0.000265,1.13e-06,0.0824,0.34,135.926,audio_features,6ITfKtFUsDi9X7krgWP2Fa,spotify:track:6ITfKtFUsDi9X7krgWP2Fa,https://api.spotify.com/v1/tracks/6ITfKtFUsDi9X7krgWP2Fa,https://api.spotify.com/v1/audio-analysis/6ITfKtFUsDi9X7krgWP2Fa,228093,4,Lullaby,Nickelback
0.656,0.769,5,-5.583,1,0.0345,0.062,0,0.12,0.226,111.01,audio_features,1n1co3IQaEBLbouzf3BesL,spotify:track:1n1co3IQaEBLbouzf3BesL,https://api.spotify.com/v1/tracks/1n1co3IQaEBLbouzf3BesL,https://api.spotify.com/v1/audio-analysis/1n1co3IQaEBLbouzf3BesL,189189,4,Without You (feat. Linney),Kastra
